,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,UniqueCarrier,AirlineID,Carrier,TailNum,FlightNum,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Unnamed: 109
162544,2015,4,12,5,6,2015-12-05,AA,19805,AA,N128UW,1829,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,15304,1530402,33195,TPA,"Tampa, FL",FL,12,Florida,33,1755,1752.0,-3.0,0.0,0.0,-1.0,1700-1759,14.0,1806.0,1929.0,3.0,1935,1932.0,-3.0,0.0,0.0,-1.0,1900-1959,0.0,,0.0,100.0,100.0,83.0,1.0,507.0,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316322,2015,4,12,16,3,2015-12-16,OO,20304,OO,N685BR,7369,10333,1033302,30333,APN,"Alpena, MI",MI,26,Michigan,43,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,1015,1003.0,-12.0,0.0,0.0,-1.0,1000-1059,14.0,1017.0,1103.0,5.0,1121,1108.0,-13.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,66.0,65.0,46.0,1.0,198.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73457,2015,4,12,10,4,2015-12-10,EV,20366,EV,N16571,4137,13930,1393004,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10469,1046902,30469,AZO,"Kalamazoo, MI",MI,26,Michigan,43,1550,1542.0,-8.0,0.0,0.0,-1.0,1500-1559,10.0,1552.0,1717.0,6.0,1752,1723.0,-29.0,0.0,0.0,-2.0,1700-1759,0.0,,0.0,62.0,41.0,25.0,1.0,122.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124563,2015,4,12,24,4,2015-12-24,AA,19805,AA,N3JBAA,205,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,623,635.0,12.0,12.0,0.0,0.0,0600-0659,21.0,656.0,1045.0,6.0,1005,1051.0,46.0,46.0,1.0,3.0,1000-1059,0.0,,0.0,402.0,436.0,409.0,1.0,2611.0,11,0.0,12.0,34.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149188,2015,4,12,17,4,2015-12-17,AA,19805,AA,N3EJAA,2389,11298,1129804,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74,14908,1490803,32575,SNA,"Santa Ana, CA",CA,6,California,91,1525,1522.0,-3.0,0.0,0.0,-1.0,1500-1559,13.0,1535.0,1627.0,9.0,1643,1636.0,-7.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,198.0,194.0,172.0,1.0,1205.0,5,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413828,2015,4,12,15,2,2015-12-15,WN,19393,WN,N638SW,4042,10397,1039705,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,805,826.0,21.0,21.0,1.0,1.0,0800-0859,10.0,836.0,1031.0,7.0,1035,1038.0,3.0,3.0,0.0,0.0,1000-1059,0.0,,0.0,150.0,132.0,115.0,1.0,946.0,4,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364197,2015,4,12,11,5,2015-12-11,OO,20304,OO,N774SK,5172,11638,1163805,31638,FAT,"Fresno, CA",CA,6,California,91,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,1316,1312.0,-4.0,0.0,0.0,-1.0,1300-1359,29.0,1341.0,1424.0,12.0,1420,1436.0,16.0,16.0,1.0,1.0,1400-1459,0.0,,0.0,64.0,84.0,43.0,1.0,209.0,1,0.0,0.0,16.0,0.0,0.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418622,2015,4,12,15,2,2015-12-15,WN,19393,WN,N8302F,286,13871,1387102,33316,OMA,"Omaha, NE",NE,31,Nebraska,65,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1315,1429.0,74.0,74.0,1.0,4.0,1300-1359,10.0,1439.0,1504.0,5.0,1415,1509.0,54.0,54.0,1.0,3.0,1400-1459,0.0,,0.0,180.0,160.0,145.0,1.0,1099.0,5,20.0,0.0,0.0,0.0,34.0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115709,2015,4,12,13,7,2015-12-13,HA,19690,HA,N488HA,343,12173,1217302,32134,HNL,"Honolulu, HI",HI,15,Hawaii,2,12982,1298202,32982,LIH,"Lihue, HI",HI,15,Hawaii,2,1210,1202.0,-8.0,0.0,0.0,-1.0,1200-1259,15.0,1217.0,1239.0,4.0,1252,1243.0,-9.0,0.0,0.0,-1.0,1200-1259,0.0,,0.0,42.0,41.0,22.0,1.0,102.0,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161877,2015,4,12,6,7,2015-12-06,AA,19805,AA,N760US,665,11066,1106603,31066,CMH,"Columbus, OH",OH,39,Ohio,44,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6,California,91,845,834.0,-11.0,0.0,0.0,-1.0,0800-0859,28.0,902.0,1049.0,9.0,1055,1058.0,3.0,3.0,0.0,0.0,1000-1059,0.0,,0.0,310.0,324.0,287.0,1.0,1995.0,8,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
