,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ActualElapsedTime,AirTime,AirlineID,Altimeter,AltimeterFlag,ArrDel15,ArrDelay,ArrDelayMinutes,ArrTime,ArrTimeBlk,Arr_wban,ArrivalDelayGroups,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,Carrier,CarrierDelay,Date,DayOfWeek,DayofMonth,DepDel15,DepDelay,DepDelayMinutes,DepTime,DepTimeBlk,Dep_wban,DepartureDelayGroups,Dest,DestCityName,DestState,DestStateFips,DewPointCelsius,DewPointCelsiusFlag,DewPointFarenheit,DewPointFarenheitFlag,Distance,DistanceGroup,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,DivActualElapsedTime,DivAirportLandings,DivArrDelay,DivDistance,DivReachedDest,Diverted,DryBulbCelsius,DryBulbCelsiusFlag,DryBulbFarenheit,DryBulbFarenheitFlag,FirstDepTime,FlightDate,FlightNum,Flights,HourlyPrecip,HourlyPrecipFlag,LateAircraftDelay,LongestAddGTime,Month,NASDelay,Origin,OriginCityName,OriginState,OriginStateFips,PressureChange,PressureChangeFlag,PressureTendency,PressureTendencyFlag,Quarter,RecordType,RecordTypeFlag,RelativeHumidity,RelativeHumidityFlag,S_Arr_time,S_Dep_time,SeaLevelPressure,SeaLevelPressureFlag,SecurityDelay,SkyCondition,SkyConditionFlag,StationPressure,StationPressureFlag,StationType,TailNum,TaxiIn,TaxiOut,Time,TotalAddGTime,UniqueCarrier,ValueForWindCharacter,ValueForWindCharacterFlag,Visibility,VisibilityFlag,WBAN,WeatherDelay,WeatherType,WeatherTypeFlag,WetBulbCelsius,WetBulbCelsiusFlag,WetBulbFarenheit,WetBulbFarenheitFlag,WheelsOff,WheelsOn,WindDirection,WindDirectionFlag,WindSpeed,WindSpeedFlag,Year,_merge,con,id,key,new_id,sa_time,sd_time,time,region_dep,region_arr,north_dep,north_arr,airport,delay,taxitime,snow,temp,dew_p,precip,vis,winter,airs,airs_cat,melting_snow,freezing_snow,DateStr,congestion,BDL,BOS,BUR,CAE,CHS,CLT,EWN,GSO,GSP,ILM,LAX,LGB,MHT,MYR,OAJ,ONT,ORH,PVD,RDU,SNA
939119,939119,27032,1830,136.0,117.0,20437,30.13, ,0.0,4.0,4.0,26.0,0001-0559,14740.0,0.0,22,2200,142.0,,0.0,FL,,20140824.0,7,24,0.0,10.0,10.0,2210.0,2200-2259,13874.0,0.0,BDL,"Hartford, CT",CT,9,12.8, ,55.0, ,859.0,4,,,,,,0,,,,0.0,14.4, ,58.0, ,,2014-08-24 00:00:00,5,1.0, , ,,,8,,ATL,"Atlanta, GA",GA,13, , , , ,3,AA, ,90.0, ,2014-08-24 00:22:00,2014-08-24 22:00:00,30.13, ,,FEW070, ,29.93, ,11.0,N945AT,8.0,11.0,51.0,,FL, , ,10.0, ,14740.0,, , ,13.5, ,56.0, ,2221.0,18.0,000, ,0.0, ,2014,both,Arr,628.0,477180,628.0,22,2200,2014-08-24 00:51:00,,North,0,1,BDL,4.0,8.0,0,58.0,55.0,0.0,10.0,0,BDL,0,0,0,20140824,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1344143,1344143,50756,12735,47.0,31.0,20304,30.16, ,0.0,-3.0,0.0,1342.0,1300-1359,23174.0,-1.0,1345,1256,49.0,,0.0,OO,,20150224.0,2,24,0.0,-1.0,0.0,1255.0,1200-1259,23188.0,-1.0,LAX,"Los Angeles, CA",CA,6,6.1, ,43, ,109.0,1,,,,,,0,,,,0.0,19.4, ,67, ,,2015-02-24 00:00:00,6327,1.0, , ,,,2,,SAN,"San Diego, CA",CA,6, , , , ,1,AA, , 42, ,2015-02-24 13:45:00,2015-02-24 12:56:00,30.16, ,,FEW180 SCT250, ,29.81, ,11.0,N585SW,9.0,7.0,1353.0,,OO,24, ,10.0, ,23174.0,, , ,12.4, ,54, ,1302.0,1333.0,270, ,16, ,2015,both,Arr,719.0,362570,719.0,1345,1256,2015-02-24 13:53:00,,West,0,0,LAX,-3.0,9.0,0,67.0,43.0,0.0,10.0,1,LAX,10,0,0,20150224,1149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
757033,757033,112959,8619,149.0,129.0,20366,30.07, ,0.0,-13.0,0.0,817.0,0800-0859,12960.0,-1.0,830,652,158.0,,0.0,EV,,20140623.0,1,23,0.0,-4.0,0.0,648.0,0600-0659,13881.0,-1.0,IAH,"Houston, TX",TX,48,19.4, ,67, ,912.0,4,,,,,,0,,,,0.0,22.8, ,73, ,,2014-06-23 00:00:00,4327,1.0, , ,,,6,,CLT,"Charlotte, NC",NC,37, , , , ,2,AA, ,82, ,2014-06-23 08:30:00,2014-06-23 06:52:00,30.05, ,,OVC011, ,29.25, ,11.0,N19966,4.0,16.0,652.0,,EV, , ,10.0, ,13881.0,, , ,20.6, ,69, ,704.0,813.0,100, ,6, ,2014,both,Dep,620.0,412108,620.0,830,652,2014-06-23 06:52:00,South,,0,0,CLT,-4.0,16.0,0,73.0,67.0,0.0,10.0,0,CLT,5,0,0,20140623,1236,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043897,1043897,131810,65,73.0,51.0,19790,29.96, ,0.0,-6.0,0.0,1123.0,1100-1159,13723.0,-1.0,1129,1011,78.0,,0.0,DL,,20140813.0,3,13,0.0,-1.0,0.0,1010.0,1000-1059,13874.0,-1.0,GSO,"Greensboro/High Point, NC",NC,37,14.4, ,58, ,306.0,2,,,,,,0,,,,0.0,25.0, ,77, ,,2014-08-13 00:00:00,1214,1.0, , ,,,8,,ATL,"Atlanta, GA",GA,13, , , , ,3,AA, , 52, ,2014-08-13 11:29:00,2014-08-13 10:11:00,29.92, ,,BKN046, ,29.01, ,11.0,N990AT,6.0,16.0,1154.0,,DL,17, ,10.0, ,13723.0,, , ,18.4, ,65, ,1026.0,1117.0,320, ,13, ,2014,both,Arr,430.0,109273,430.0,1129,1011,2014-08-13 11:54:00,,South,0,0,GSO,-6.0,6.0,0,77.0,58.0,0.0,10.0,0,GSO,7,0,0,20140813,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1441863,1441863,37593,10704,133.0,108.0,19977,30.0, ,0.0,1.0,1.0,1619.0,1600-1659,3017.0,0.0,1618,1300,138.0,,0.0,UA,,20150312.0,4,12,0.0,6.0,6.0,1306.0,1300-1359,23174.0,0.0,DEN,"Denver, CO",CO,8,5.6, ,42, ,862.0,4,,,,,,0,,,,0.0,26.7, ,80.0, ,,2015-03-12 00:00:00,1088,1.0, , ,,,3,,LAX,"Los Angeles, CA",CA,6, , , , ,1,AA, , 26, ,2015-03-12 16:18:00,2015-03-12 13:00:00,30.00, ,,FEW040 SCT250, ,29.65, ,11.0,N69839,5.0,20.0,1253.0,,UA, , ,10.0, ,23174.0,, , ,15.1, ,59, ,1326.0,1614.0,250, ,11.0, ,2015,both,Dep,295.0,208395,295.0,1618,1300,2015-03-12 12:53:00,West,,0,0,LAX,6.0,20.0,0,80.0,42.0,0.0,10.0,1,LAX,10,0,0,20150312,1211,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1318966,1318966,25579,3320,101.0,87.0,19930,29.99, ,0.0,1.0,1.0,2041.0,2000-2059,24127.0,0.0,2040,1745,115.0,,0.0,AS,,20150213.0,5,13,1.0,15.0,15.0,1800.0,1700-1759,23174.0,1.0,SLC,"Salt Lake City, UT",UT,49,8.3, ,47.0, ,590.0,3,,,,,,0,,,,0.0,20.0, ,68.0, ,,2015-02-13 00:00:00,721,1.0, , ,,,2,,LAX,"Los Angeles, CA",CA,6, , , , ,1,AA, , 47, ,2015-02-13 20:40:00,2015-02-13 17:45:00,29.99, ,,CLR, ,29.64, ,11.0,N525AS,4.0,10.0,1753.0,,AS, , ,10.0, ,23174.0,, , ,13.6, ,57, ,1810.0,2037.0,240, ,9.0, ,2015,both,Dep,403.0,148810,403.0,2040,1745,2015-02-13 17:53:00,West,,0,0,LAX,15.0,10.0,0,68.0,47.0,0.0,10.0,1,LAX,10,0,0,20150213,1207,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1115887,1115887,70833,538,148.0,132.0,19930,29.82, ,0.0,-14.0,0.0,1841.0,1800-1859,93184.0,-1.0,1855,1620,155.0,,0.0,AS,,20140910.0,3,10,0.0,-7.0,0.0,1613.0,1600-1659,24233.0,-1.0,SNA,"Santa Ana, CA",CA,6,17.8, ,64, ,978.0,4,,,,,,0,,,,0.0,25.0, ,77, ,,2014-09-10 00:00:00,514,1.0, , ,,,9,,SEA,"Seattle, WA",WA,53, , , , ,3,AA, , 64, ,2014-09-10 18:55:00,2014-09-10 16:20:00,29.82, ,,CLR, ,29.76, ,12.0,N549AS,6.0,10.0,1853.0,,AS, , ,10.0, ,93184.0,, , ,20.3, ,69, ,1623.0,1835.0,210, ,8, ,2014,both,Arr,257.0,47953,257.0,1855,1620,2014-09-10 18:53:00,,West,0,0,SNA,-14.0,6.0,0,77.0,64.0,0.0,10.0,0,SNA,19,0,0,20140910,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
119675,119675,119675,6882,100.0,70.0,20355,30.05, ,0.0,-12.0,0.0,1004.0,1000-1059,13881.0,-1.0,1016,830,106.0,,0.0,US,,20141005.0,7,5,0.0,-6.0,0.0,824.0,0800-0859,12842.0,-1.0,CLT,"Charlotte, NC",NC,37,0.6, ,33.0, ,507.0,3,,,,,,0,,,,0.0,14.4, ,58.0, ,,2014-10-05 00:00:00,1937,1.0, , ,,,10,,TPA,"Tampa, FL",FL,12, , , , ,4,AA, ,39.0, ,2014-10-05 10:16:00,2014-10-05 08:30:00,30.04, ,,FEW250, ,29.23, ,11.0,N542UW,17.0,13.0,952.0,,US, , ,10.0, ,13881.0,, , ,8.0, ,46.0, ,837.0,947.0,000, ,0.0, ,2014,both,Arr,114.0,476826,114.0,1016,830,2014-10-05 09:52:00,,South,0,0,CLT,-12.0,17.0,0,58.0,33.0,0.0,10.0,0,CLT,5,0,0,20141005,1188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430423,430423,49983,5708,367.0,333.0,19977,29.97, ,0.0,-6.0,0.0,1134.0,1100-1159,23174.0,-1.0,1140,830,370.0,,0.0,UA,,20140423.0,3,23,0.0,-3.0,0.0,827.0,0800-0859,94789.0,-1.0,LAX,"Los Angeles, CA",CA,6,11.7, ,53.0, ,2475.0,10,,,,,,0,,,,0.0,18.9, ,66.0, ,,2014-04-23 00:00:00,443,1.0, , ,,,4,,JFK,"New York, NY",NY,36, , , , ,2,AA, ,63.0, ,2014-04-23 11:40:00,2014-04-23 08:30:00,29.97, ,,FEW030 SCT160 BKN250, ,29.62, ,11.0,N588UA,8.0,26.0,1153.0,,UA,23, ,10.0, ,23174.0,, , ,14.7, ,59.0, ,853.0,1126.0,250, ,14.0, ,2014,both,Arr,629.0,68351,629.0,1140,830,2014-04-23 11:53:00,,West,0,0,LAX,-6.0,8.0,0,66.0,53.0,0.0,10.0,0,LAX,10,0,0,20140423,1261,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
827734,827734,52551,4449,85.0,61.0,19393,30.0, ,0.0,1.0,1.0,1021.0,1000-1059,23174.0,0.0,1020,900,80.0,,0.0,WN,,20140723.0,3,23,0.0,-4.0,0.0,856.0,0900-0959,23230.0,-1.0,LAX,"Los Angeles, CA",CA,6,15.6, ,60.0, ,337.0,2,,,,,,0,,,,0.0,25.0, ,77.0, ,,2014-07-23 00:00:00,910,1.0, , ,,,7,,OAK,"Oakland, CA",CA,6, , , , ,3,AA, ,56.0, ,2014-07-23 10:20:00,2014-07-23 09:00:00,30.00, ,,CLR, ,29.65, ,11.0,N942WN,9.0,15.0,953.0,,WN, , ,10.0, ,23174.0,, , ,19.1, ,66.0, ,911.0,1012.0,270, ,11.0, ,2014,both,Arr,627.0,107114,627.0,1020,900,2014-07-23 09:53:00,,West,0,0,LAX,1.0,9.0,0,77.0,60.0,0.0,10.0,0,LAX,10,0,0,20140723,1352,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
